sweep,joint,point_deg,pairs,gravity_torque_nm
0,7,-1,189,0.00046322992532528954
0,7,0,188,0.0006531129452340359
0,7,1,189,0.0008426457326176839
1,6,-1,189,-0.0060491133597070255
1,6,0,189,-0.0058700845399513035
1,6,1,189,-0.005672788832801695
2,5,-1,189,-3.2531730374494564e-08
2,5,0,189,-3.358238519734768e-08
2,5,1,188,-3.4600897937952786e-08
3,4,-1,188,-0.009271536687622883
3,4,0,188,0.005957929907255722
3,4,1,188,0.01966914311290775
4,3,-1,188,1.1030827122177833e-07
4,3,0,188,1.0854914281254848e-07
4,3,1,187,1.0666514280484093e-07
5,2,-1,188,-0.0756958542085897
5,2,0,188,-0.013374334984371232
5,2,1,189,0.051938243256861874
6,1,-1,188,-0.08724230409030195
6,1,0,189,-0.02192076987171233
6,1,1,188,0.043394057788079594
